|1963-01-01 00:00:00| 30970.0 34128.0
|1964-01-01 00:00:00| 30991.0 34151.0
|1965-01-01 00:00:00| 31352.0 34550.0
|1966-01-01 00:00:00| 31452.0 34660.0
|1967-01-01 00:00:00| 31377.0 34576.0
|1968-01-01 00:00:00| 30707.0 33839.0
|1969-01-01 00:00:00| 29632.0 32654.0
|1970-01-01 00:00:00| 39001.0 42979.0
|1971-01-01 00:00:00| 38063.0 41945.0
|1972-01-01 00:00:00| 36339.0 40045.0
|1973-01-01 00:00:00| 35300.0 38900.0
|1974-01-01 00:00:00| 32250.0 37743.0
|1975-01-01 00:00:00| 32682.0 36015.0
|1976-01-01 00:00:00| 30942.0 34098.0
|1977-01-01 00:00:00| 29486.0 32493.0
|1978-01-01 00:00:00| 27804.0 30639.0
|1979-01-01 00:00:00| 29810.0 31221.0
|1980-01-01 00:00:00| 29805.0 31335.0
|1981-01-01 00:00:00| 29426.0 31006.0
|1982-01-01 00:00:00| 27858.0 29459.0
|1983-01-01 00:00:00| 27735.0 29348.0
|1984-01-01 00:00:00| 28446.0 29968.0
|1985-01-01 00:00:00| 28416.0 29869.0
|1986-01-01 00:00:00| 26889.0 28325.0
|1987-01-01 00:00:00| 27256.0 28658.0
|1988-01-01 00:00:00| 26825.0 28214.0
|1989-01-01 00:00:00| 26501.0 27890.0
|1990-01-01 00:00:00| 26254.0 27556.0
|1991-01-01 00:00:00| 24682.0 25926.0
|1992-01-01 00:00:00| 23745.0 24971.0
|1993-01-01 00:00:00| 22957.0 24149.0
|1994-01-01 00:00:00| 22457.0 23604.0
|1995-01-01 00:00:00| 22351.0 23548.0
|1996-01-01 00:00:00| 22017.0 23324.0
|1997-01-01 00:00:00| 22546.0 23887.0
|1998-01-01 00:00:00| 21034.0 22370.0
|1999-01-01 00:00:00| 21765.0 23168.0
|2000-01-01 00:00:00| 22045.0 23517.0
|2001-01-01 00:00:00| 22446.0 23844.0
|2002-01-01 00:00:00| 22677.0 24023.0
|2003-01-01 00:00:00| 21891.0 23106.0
|2004-01-01 00:00:00| 21371.0 22592.0
|2005-01-01 00:00:00| 21757.0 23019.0
|2006-01-01 00:00:00| 20972.0 22311.0
|2007-01-01 00:00:00| 21317.0 22812.0
|2008-01-01 00:00:00| 19121.0 20554.0
|2009-01-01 00:00:00| 20682.0 22315.0
|2010-01-01 00:00:00| 23267.0 25181.0
|2011-01-01 00:00:00| 26544.0 28950.0
|2012-01-01 00:00:00| 30529.0 33403.0
|2013-01-01 00:00:00| 33371.0 36520.0
|2014-01-01 00:00:00| 36385.0 39933.0
|2015-01-01 00:00:00| 32318.0 35230.0
|2016-01-01 00:00:00| 32773.0 35213.0
|2017-01-01 00:00:00| 39157.0 41990.0
